#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 05 02 50 181  7.9  9.4  3.82 11.43  8.64 249 1022.7   8.6   9.0   6.4 99.0 99.00
2020 01 05 03 20 174  8.4 10.9  3.42 11.43  8.24 259 1022.7   8.8   9.0   6.2 99.0 99.00
2020 01 05 03 50 158  7.3 10.9  3.95 11.43  8.58 254 1022.8   8.1   9.0   6.8 99.0 99.00
2020 01 05 04 20 156  7.2  8.8  3.74 11.43  8.33 249 1022.9   8.6   9.0   7.0 99.0 99.00
2020 01 05 04 50 155  7.8  9.3  3.26 11.43  8.12 249 1022.8   8.4   9.0   6.8 99.0 99.00
2020 01 05 05 20 167  7.6 10.7  3.47 10.81  8.43 258 1022.7   8.2   9.0   6.9 99.0 99.00
2020 01 05 05 50 209  5.9  7.9  3.53 10.81  8.10 253 1022.8   7.5   9.0   6.7 99.0 99.00
2020 01 05 06 20 172 10.2 12.9  3.27 11.43  8.02 255 1022.9   6.9   9.0   6.4 99.0 99.00
2020 01 05 06 50 162  8.0  9.6  3.12 11.43  7.87 256 1022.7   7.1   9.0   6.8 99.0 99.00
2020 01 05 07 20 141  7.4  9.6  3.42 11.43  8.11 257 1022.4   7.6   9.0   6.2 99.0 99.00
2020 01 05 07 50 146  9.5 11.7  3.19 10.81  8.38 267 1022.0   7.6   9.0   6.1 99.0 99.00
2020 01 05 08 20 123  7.4  9.7  3.33 11.43  8.58 251 1021.4   7.5   9.0   6.1 99.0 99.00
2020 01 05 08 50 146  9.2 11.0  3.28 11.43  8.60 257 1021.1   7.4   9.0   5.9 99.0 99.00
2020 01 05 09 20 163  9.6 11.7  3.04 11.43  8.17 252 1020.8   7.4   9.1   6.0 99.0 99.00
2020 01 05 09 50 141  6.7  8.3  2.81 10.81  8.36 270 1020.6   6.9   9.1   6.1 99.0 99.00
2020 01 05 10 20 115  5.5  7.1  2.75 11.43  8.45 259 1020.5   6.8   9.2   6.0 99.0 99.00
2020 01 05 10 50 107  7.0  8.6  2.81 10.81  8.54 257 1020.0   7.0   9.1   6.1 99.0 99.00
2020 01 05 11 50 134  8.1 10.0  2.73 11.43  8.22 249 1019.1   7.6   9.1   6.7 99.0 99.00
2020 01 05 12 20 125  7.2  9.2  2.36 11.43  6.92 249 1018.6   7.4   9.1   7.3 99.0 99.00
2020 01 05 12 50 150  7.1  9.8  2.76 11.43  7.45 255 1018.0   8.0   9.1   7.1 99.0 99.00
2020 01 05 13 20 148  8.0 10.1  2.54 10.81  7.37 255 1017.0   8.2   9.1   6.6 99.0 99.00
2020 01 05 13 50 145  8.8 16.3  2.62 11.43  7.29 253 1016.3   8.2   9.1   6.6 99.0 99.00
2020 01 05 14 20 142  9.2 12.3  2.70 10.81  7.63 254 1015.5   8.4   9.0   6.7 99.0 99.00
2020 01 05 14 50 151  9.1 11.4  2.41 10.81  6.93 257 1015.1   8.4   9.0   6.4 99.0 99.00
2020 01 05 15 20 150  8.8 12.4  2.64 10.81  7.42 254 1014.4   8.2   9.0   6.8 99.0 99.00
